state_abbrev,state_fips,county_name,county_fips,date,AWND,PRCP,TAVG,TMAX,TMIN
IN,18,Allen,003,2025-01-01T00:00:00,15.7,0.0,33.0,37.0,28.0
IN,18,Allen,003,2025-01-02T00:00:00,11.9,0.03,28.0,33.0,24.0
IN,18,Allen,003,2025-01-03T00:00:00,15.0,0.08,26.0,31.0,19.0
IN,18,Allen,003,2025-01-04T00:00:00,13.9,0.0,17.0,19.0,11.0
IN,18,Allen,003,2025-01-05T00:00:00,7.6,0.0,17.0,24.0,11.0
IN,18,Allen,003,2025-01-06T00:00:00,13.9,0.03,23.0,26.0,20.0
IN,18,Allen,003,2025-01-07T00:00:00,8.5,0.0,25.0,30.0,20.0
IN,18,Allen,003,2025-01-08T00:00:00,10.3,0.0,23.0,26.0,16.0
IN,18,Allen,003,2025-01-09T00:00:00,6.7,0.0,19.0,26.0,9.0
IN,18,Allen,003,2025-01-10T00:00:00,8.3,0.21,20.0,26.0,15.0
IN,18,Allen,003,2025-01-11T00:00:00,10.1,0.01,26.0,31.0,20.0
IN,18,Allen,003,2025-01-12T00:00:00,15.0,0.0,28.0,34.0,24.0
IN,18,Allen,003,2025-01-13T00:00:00,17.0,0.0,20.0,25.0,4.0
IN,18,Allen,003,2025-01-14T00:00:00,11.2,0.05,12.0,20.0,4.0
IN,18,Allen,003,2025-01-15T00:00:00,9.4,0.0,9.0,20.0,-1.0
IN,18,Allen,003,2025-01-16T00:00:00,15.0,0.0,24.0,34.0,19.0
IN,18,Allen,003,2025-01-17T00:00:00,11.9,0.02,32.0,43.0,19.0
IN,18,Allen,003,2025-01-18T00:00:00,13.0,0.24,37.0,41.0,26.0
IN,18,Allen,003,2025-01-19T00:00:00,10.7,0.01,24.0,26.0,9.0
IN,18,Allen,003,2025-01-20T00:00:00,14.8,0.0,8.0,12.0,-3.0
IN,18,Allen,003,2025-01-21T00:00:00,13.4,0.0,4.0,10.0,-4.0
IN,18,Allen,003,2025-01-22T00:00:00,14.1,0.0,5.0,22.0,-6.0
IN,18,Allen,003,2025-01-23T00:00:00,10.7,0.01,23.0,30.0,10.0
IN,18,Allen,003,2025-01-24T00:00:00,8.3,0.0,13.0,21.0,4.0
IN,18,Allen,003,2025-01-25T00:00:00,14.8,0.0,24.0,35.0,17.0
IN,18,Allen,003,2025-01-26T00:00:00,9.6,0.0,28.0,32.0,17.0
IN,18,Allen,003,2025-01-27T00:00:00,18.3,0.0,24.0,38.0,14.0
